"first_name","last_name","game","continent_name","total_usd_prize"
"Ryung Woo","Park","Starcraft II","Asia",794627.39
"Tae Yang","Jun","Starcraft II","Asia",673162.61
"Byung Ryul","Lee","Starcraft II","Asia",883148.24
"Ryung Woo","Park","Starcraft II","Asia",794627.39
"Shin Hyung","Lee","Starcraft II","Asia",762437
"Shin Hyung","Lee","Starcraft II","Asia",762437
"Sung Choo","Cho","Starcraft II","Asia",886795.83
"Sung Choo","Cho","Starcraft II","Asia",886795.83
"Byung Ryul","Lee","Starcraft II","Asia",883148.24
"Tae Yang","Jun","Starcraft II","Asia",673162.61
